time,y,x,band,spatial_ref,Corn4_pydms_sharpened_modis_catd
2022-06-01,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-01,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-01,4219489.421824947,629385.2947743271,1.0,0.0,NA
2022-06-01,4218562.796391891,629966.6137518698,1.0,0.0,NA
2022-06-01,4219489.421824947,629966.6137518698,1.0,0.0,NA
2022-06-01,4219026.109108419,629966.6137518698,1.0,0.0,NA
2022-06-01,4219489.421824947,629503.3010353418,1.0,0.0,NA
2022-06-01,4219026.109108419,629503.3010353418,1.0,0.0,NA
2022-06-01,4218915.448835425,629385.2947743271,1.0,0.0,25.127204589843757
2022-06-01,4218562.796391891,629503.3010353418,1.0,0.0,NA
2022-06-01,4218915.448835425,629503.3010353418,1.0,0.0,NA
2022-06-01,4218915.448835425,629966.6137518698,1.0,0.0,NA
2022-06-02,4218915.448835425,629385.2947743271,1.0,0.0,16.02591430664063
2022-06-02,4218915.448835425,629966.6137518698,1.0,0.0,NA
2022-06-02,4219489.421824947,629966.6137518698,1.0,0.0,NA
2022-06-02,4218562.796391891,629503.3010353418,1.0,0.0,NA
2022-06-02,4218915.448835425,629503.3010353418,1.0,0.0,NA
2022-06-02,4219489.421824947,629503.3010353418,1.0,0.0,NA
2022-06-02,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-02,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-02,4219489.421824947,629385.2947743271,1.0,0.0,NA
2022-06-02,4218562.796391891,629966.6137518698,1.0,0.0,NA
2022-06-02,4219026.109108419,629503.3010353418,1.0,0.0,NA
2022-06-02,4219026.109108419,629966.6137518698,1.0,0.0,NA
2022-06-03,4218915.448835425,629385.2947743271,1.0,0.0,5.838890380859425
2022-06-03,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-03,4218562.796391891,629503.3010353418,1.0,0.0,NA
2022-06-03,4218915.448835425,629966.6137518698,1.0,0.0,NA
2022-06-03,4219026.109108419,629503.3010353418,1.0,0.0,NA
