time,y,x,band,spatial_ref,Corn4_prepped_inputs_mod21a1d_catd
2022-06-01,4218519.856725971,629271.6446770779,1.0,0.0,NA
2022-06-01,4218519.856725971,630198.2701101338,1.0,0.0,NA
2022-06-01,4219257.765466684,629271.6446770779,1.0,0.0,NA
2022-06-01,4219257.765466684,630198.2701101338,1.0,0.0,NA
2022-06-02,4218519.856725971,629271.6446770779,1.0,0.0,NA
2022-06-02,4218519.856725971,630198.2701101338,1.0,0.0,NA
2022-06-02,4219257.765466684,629271.6446770779,1.0,0.0,NA
2022-06-02,4219257.765466684,630198.2701101338,1.0,0.0,NA
2022-06-03,4218519.856725971,629271.6446770779,1.0,0.0,NA
2022-06-03,4218519.856725971,630198.2701101338,1.0,0.0,NA
2022-06-03,4219257.765466684,629271.6446770779,1.0,0.0,NA
2022-06-03,4219257.765466684,630198.2701101338,1.0,0.0,NA
2022-06-04,4219257.765466684,629271.6446770779,1.0,0.0,NA
2022-06-04,4219257.765466684,630198.2701101338,1.0,0.0,NA
2022-06-04,4218519.856725971,630198.2701101338,1.0,0.0,NA
2022-06-04,4218519.856725971,629271.6446770779,1.0,0.0,NA
2022-06-05,4219257.765466684,629271.6446770779,1.0,0.0,NA
2022-06-05,4218519.856725971,629271.6446770779,1.0,0.0,NA
2022-06-05,4219257.765466684,630198.2701101338,1.0,0.0,NA
2022-06-05,4218519.856725971,630198.2701101338,1.0,0.0,NA
2022-06-06,4218519.856725971,629271.6446770779,1.0,0.0,NA
2022-06-06,4218519.856725971,630198.2701101338,1.0,0.0,NA
2022-06-06,4219257.765466684,630198.2701101338,1.0,0.0,NA
2022-06-06,4219257.765466684,629271.6446770779,1.0,0.0,NA
2022-06-07,4219257.765466684,629271.6446770779,1.0,0.0,NA
2022-06-07,4219257.765466684,630198.2701101338,1.0,0.0,NA
2022-06-07,4218519.856725971,630198.2701101338,1.0,0.0,NA
2022-06-07,4218519.856725971,629271.6446770779,1.0,0.0,NA
2022-06-08,4219257.765466684,630198.2701101338,1.0,0.0,NA
2022-06-08,4219257.765466684,629271.6446770779,1.0,0.0,NA
2022-06-08,4218519.856725971,630198.2701101338,1.0,0.0,NA
